,DEPT,GR,SP,RHOB,DPHI,NPHI,VSHALE,PHIT,PHIE
40,265.0,19.126,-138.9079,2.0069,0.411156,0.32259,0.17355241791135945,0.3695359011219343,0.3054020519771696
41,265.5,21.3119,-141.1167,2.0037,0.413031,0.317529,0.1600590308195118,0.36838788851019516,0.309424080109607
42,266.0,23.3441,-142.7942,1.9991,0.415733,0.311583,0.14981131402913958,0.36736759055338564,0.312331769080864
43,266.5,26.5967,-143.3566,1.9983,0.416226,0.305888,0.14637565625095458,0.36524755414649934,0.3117842037142494
44,267.0,32.6587,-141.8495,2.0006,0.414869,0.300111,0.1555824127187757,0.3620655323846776,0.30573450329396146
45,267.5,38.5559,-137.2674,2.0082,0.410437,0.293026,0.18357410458474593,0.35659694870049014,0.2911349831451451
46,268.0,41.1636,-129.2733,2.0333,0.395723,0.283578,0.23240943859006072,0.3442478575191137,0.2642414062172653
47,268.5,41.5568,-118.7326,2.0884,0.363506,0.271742,0.2968017535660832,0.32092080533988443,0.2256709475591671
48,269.0,43.3496,-107.4674,2.1722,0.314503,0.258887,0.36561998258957207,0.28804046224272034,0.18272711345244463
49,269.5,47.2769,-97.3558,2.2724,0.255909,0.247413,0.42739095910076663,0.25169685024846855,0.14412389201813355
50,270.0,53.3127,-89.5182,2.3733,0.196905,0.240119,0.4752702468004521,0.219577677811293,0.11521894068604961
51,270.5,59.6238,-84.1335,2.4553,0.148926,0.23996099999999998,0.5081649595283912,0.1997000688495124,0.098219491444783
52,271.0,64.1502,-80.7781,2.4961,0.12511,0.246751,0.5286628366779682,0.19562536658240415,0.09220550535878297
53,271.5,71.4498,-78.8641,2.488,0.129807,0.256993,0.5403553135404259,0.20358690932621382,0.0935776411045213
54,272.0,83.5959,-77.8879,2.4499,0.152124,0.26700399999999996,0.5463188432756041,0.2172934046306974,0.098581923161437
55,272.5,92.4278,-77.4518,2.3968,0.183157,0.273853,0.5489829441949968,0.23296131895445646,0.10506952819128923
56,273.0,91.8827,-77.1927,2.3181,0.229162,0.27679,0.5505657659061058,0.2540943981515531,0.11419872122079226
57,273.5,87.8388,-76.7372,2.2113,0.291637,0.277824,0.5533483799138642,0.28481425064855864,0.12721274647579747
58,274.0,89.1037,-75.7215,2.1165,0.34706600000000004,0.280128,0.55955321207123,0.31537795162312793,0.13890720577596172
59,274.5,100.2482,-73.8803,2.0775,0.369882,0.285709,0.5708009594062128,0.33048625281923605,0.14184438263945193
60,275.0,117.4056,-71.183,2.0991,0.357246,0.29425999999999997,0.5872785549344818,0.3272717923347504,0.1350720870615804
61,275.5,132.9662,-67.888,2.1536,0.325369,0.303663,0.6074074531903846,0.3147031964645418,0.12355012938914123
62,276.0,145.6739,-64.399,2.2002,0.298111,0.310872,0.628721482329943,0.3045583431011208,0.11307597017063277
63,276.5,155.7746,-61.0679,2.2149,0.28951899999999997,0.312686,0.6490709126729588,0.30132522791578537,0.10574378722109924
64,277.0,162.1734,-58.1866,2.2113,0.291635,0.306971,0.6666725498640765,0.299401209137505,0.0997986416094169
65,277.5,164.7161,-56.1438,2.2144,0.289812,0.294266,0.6791518558905282,0.2920474910866382,0.09370289550697537
66,278.0,162.1994,-55.4789,2.2371,0.276563,0.277518,0.6832136781819848,0.27704091150315685,0.08776277134819532
67,278.5,150.436,-56.6343,2.2828,0.249831,0.259855,0.6761554296099453,0.25489228076385523,0.08254548115971189
68,279.0,125.924,-59.471,2.3486,0.211361,0.243093,0.6588262503436269,0.22778024384261247,0.0777126398894271
69,279.5,94.1493,-62.9328,2.4215,0.16871200000000003,0.227864,0.6376783838846636,0.2004815969609181,0.07263881621226337
70,280.0,73.2875,-65.356,2.4808,0.134052,0.218353,0.6228752438987142,0.18117390997740265,0.06832516661214429
71,280.5,75.9437,-65.4393,2.5138,0.114708,0.21944299999999997,0.6223663706893919,0.17509019891615862,0.06611994727342528
72,281.0,89.1151,-63.1303,2.5272,0.106879,0.23079899999999998,0.6364718717737256,0.17984896308013565,0.06538015691195805
73,281.5,91.044,-59.6154,2.5325,0.103794,0.246068,0.657944121995174,0.1888420703392123,0.06459454017412836
74,282.0,82.3733,-56.4491,2.5329,0.10354799999999999,0.25982900000000003,0.6772868019792908,0.19777929308322448,0.0638259881731625
75,282.5,76.1643,-54.6222,2.5272,0.10689799999999999,0.269758,0.6884471917285196,0.20517865503994318,0.06392398617505962
76,283.0,73.6487,-54.2092,2.5165,0.113174,0.274586,0.6909701765478481,0.21000693520929256,0.06489840611145518
77,283.5,70.6933,-54.5911,2.5041,0.120418,0.275327,0.6886371792052293,0.21249170766526396,0.06616201749415439
78,284.0,69.0177,-54.9652,2.4919,0.127516,0.275042,0.6863518314548398,0.21436934484669212,0.06723655240339085
79,284.5,72.5438,-54.9051,2.4803,0.134326,0.277529,0.6867189776718898,0.2180204349562215,0.06830166475150432
80,285.0,78.5301,-54.6575,2.4692,0.140793,0.285626,0.6882315467790708,0.2251720239339248,0.07020153361050578
81,285.5,80.5472,-54.8805,2.4584,0.147132,0.300177,0.6868692571550751,0.23638322355129182,0.07401885438669396
82,286.0,74.583,-56.0354,2.4465,0.15410000000000001,0.32043999999999995,0.6798140630440759,0.2514245449434084,0.08050260349642206
83,286.5,61.4619,-58.037,2.4324,0.162335,0.345263,0.6675864446073491,0.26977693692567567,0.08967751076640279
84,287.0,47.5291,-60.4409,2.4165,0.171617,0.37327800000000005,0.6529012068175571,0.2905071943799327,0.10083469658009199
85,287.5,37.4159,-62.8611,2.4006,0.180927,0.400247,0.6381163935978498,0.31058995503557424,0.11239741304055528
86,288.0,30.6464,-65.1916,2.3868,0.188995,0.42100299999999996,0.6238795506887811,0.3263147529870508,0.12273365151036897
87,288.5,25.7008,-67.5083,2.3771,0.194683,0.43092199999999997,0.6097270109044259,0.3343615113713,0.13049226648139103
88,289.0,23.9545,-69.8439,2.3729,0.197132,0.428049,0.5954590124927457,0.3332318800962777,0.13480595384304714
89,289.5,25.4917,-72.0945,2.375,0.19590699999999997,0.415166,0.5817102724579248,0.3246092729767589,0.13578072435107957
90,290.0,26.1115,-74.1288,2.3829,0.19131499999999999,0.397455,0.5692828922691592,0.3119069622900393,0.13434366467867814
91,290.5,22.8035,-75.9501,2.3941,0.18476099999999998,0.378337,0.5581567124835822,0.2977209370282849,0.13154599757904578
92,291.0,16.9134,-77.7314,2.405,0.178339,0.358194,0.5472748895812335,0.28293792654661903,0.12809310403747495
93,291.5,12.5974,-79.6842,2.4135,0.173382,0.336531,0.5353453865420447,0.26768865486325716,0.12438276845256677
94,292.0,11.9022,-81.8777,2.4206,0.169223,0.314151,0.5219454659580317,0.25231654179819446,0.12062106682041666
95,292.5,13.7225,-84.1518,2.4304,0.16349799999999998,0.293083,0.5080531662543145,0.23730701727192982,0.11674243577255858
96,293.0,17.0557,-86.155,2.4461,0.154344,0.27556200000000003,0.4958157735422584,0.22333437507468484,0.11260166913845311
97,293.5,23.0587,-87.4365,2.4662,0.142575,0.263231,0.4879871898958429,0.21168158869632472,0.1083836850757176
98,294.0,33.3755,-87.5329,2.4856,0.131212,0.257204,0.4873982898072635,0.20416964338510266,0.10465770836864474
99,294.5,45.5871,-86.0371,2.499,0.123417,0.257858,0.49653601545557285,0.2021416632624259,0.10177104722853879
100,295.0,54.4496,-82.6405,2.5014,0.121979,0.264243,0.5172855801948746,0.20579509164457738,0.09934025826195478
101,295.5,59.0864,-77.1728,2.4889,0.129317,0.273677,0.5506873334555118,0.21403502846263273,0.09616864937247094
102,296.0,65.8914,-69.7547,2.4618,0.145149,0.28181,0.5960039283423441,0.22414850914181875,0.09055511716121495
103,296.5,81.3994,-61.0659,2.4282,0.164792,0.283463,0.6490831305171203,0.23184873908757841,0.08135963371416598
104,297.0,100.7151,-52.4339,2.399,0.1819,0.275154,0.7018153459177129,0.23323521787671775,0.06954716276237595
105,297.5,113.4366,-45.4662,2.3816,0.192053,0.257741,0.7443804822993983,0.22728261910009748,0.05809787347609647
106,298.0,118.0613,-41.4367,2.3801,0.19290400000000002,0.23386700000000002,0.7689963838235744,0.21436619008719637,0.049519365096105404
107,298.5,119.3006,-40.9094,2.3969,0.183082,0.203595,0.7722176184367269,0.19361035967762674,0.04410102882269173
108,299.0,112.1605,-43.7316,2.431,0.16316199999999997,0.17946600000000001,0.7549770185405785,0.17150784734233007,0.04202336409950503
109,299.5,93.5365,-49.1571,2.4743,0.137822,0.163614,0.7218330617917469,0.15126870905775588,0.042077953645311
110,300.0,75.6532,-56.0072,2.5131,0.115174,0.153684,0.6799863346467516,0.13580099803020595,0.04345817513827547
111,300.5,67.9719,-63.034,2.5367,0.101367,0.14940699999999998,0.6370601609700969,0.12766698934728585,0.04633543656313628
112,301.0,68.2056,-69.3785,2.5458,0.096038,0.15198,0.598302104829103,0.1271243836641893,0.05106559734280241
113,301.5,67.4002,-74.608,2.547,0.095343,0.163334,0.5663554968080883,0.13373160285624336,0.05799197448165369
114,302.0,62.0168,-78.207,2.5423,0.09809,0.18561,0.5443694862396531,0.14844648901203422,0.06763675005447284
115,302.5,59.4548,-79.2862,2.5264,0.107347,0.21882000000000001,0.5377767375301629,0.1723449604847789,0.07966184990550967
116,303.0,67.5797,-77.1691,2.4931,0.12682000000000002,0.247348,0.5507099364672104,0.19655068748798618,0.08830827086889077
117,303.5,87.3054,-72.3121,2.4449,0.155019,0.26686,0.5803809710131648,0.218225972286756,0.09157177059067656
118,304.0,111.1015,-66.3496,2.3954,0.18397200000000002,0.28190000000000004,0.6168054189193317,0.23802658127192436,0.0912104960965587
119,304.5,127.2678,-60.9729,2.3577,0.20599900000000002,0.294273,0.6496512602706253,0.25400018359245335,0.08898864421264584
120,305.0,134.0796,-56.7766,2.3344,0.21962800000000002,0.30543,0.6752861299978619,0.2660112246541487,0.08637753422145682
121,305.5,139.4959,-53.2886,2.3195,0.22837800000000003,0.315203,0.6965940502153395,0.2752357553925362,0.08350816577957094
122,306.0,144.429,-49.9577,2.3062,0.23613099999999998,0.32205599999999995,0.7169422587739394,0.2823808742611652,0.07993009243380567
123,306.5,141.3524,-46.8542,2.2936,0.243494,0.324484,0.7359012984513883,0.2868616341478937,0.07575978510257161
124,307.0,128.7892,-44.5088,2.2861,0.24789899999999998,0.32217799999999996,0.7502291642994594,0.2874478890903532,0.07179609947845382
125,307.5,116.7744,-43.4206,2.2874,0.24715199999999998,0.316647,0.7568768933076758,0.28403295030066494,0.06905497328008417
126,308.0,112.5001,-43.8114,2.2966,0.241734,0.310776,0.7544895265585388,0.2784035281134203,0.06835098199489896
127,308.5,108.9378,-45.6164,2.3104,0.233655,0.306987,0.7434629222028774,0.2727963317147062,0.06998237377186525
128,309.0,96.2906,-48.4425,2.326,0.224549,0.305228,0.7261984975106143,0.26794251751541787,0.07336306387650997
129,309.5,77.0523,-51.4851,2.3425,0.21488600000000002,0.302844,0.7076114911878799,0.26257425743206436,0.07677369558301105
130,310.0,62.3554,-53.7138,2.361,0.204089,0.29715199999999997,0.6939965365466264,0.25490354158485123,0.07800136657149552
131,310.5,59.4505,-54.4704,2.3827,0.19140000000000001,0.288264,0.6893745261003696,0.244673347236678,0.07600177443600191
132,311.0,64.2591,-53.9886,2.4068,0.1773,0.278814,0.6923178047588504,0.2336370439335338,0.07188595856712258
133,311.5,71.1514,-53.2147,2.4289,0.16436699999999999,0.271725,0.6970454995571033,0.22455621380180063,0.06803031557367283
134,312.0,76.2196,-53.0929,2.4438,0.155696,0.268904,0.6977895662665323,0.21971641453473612,0.06640059293490498
135,312.5,76.539,-54.0602,2.4517,0.151039,0.270732,0.6918804059378723,0.21921290489499012,0.06754379126942417
136,313.0,73.3582,-56.0743,2.4596,0.146417,0.275793,0.6795764259751368,0.22079370092690598,0.07074750677317597
137,313.5,66.8209,-58.8478,2.4701,0.140321,0.281363,0.6626333305843184,0.22232309912602422,0.07500440348631922
138,314.0,62.5927,-61.9609,2.4738,0.138117,0.284991,0.6436156452548948,0.22393768750480567,0.07980788826451118
139,314.5,69.7508,-64.9403,2.4599,0.146246,0.286296,0.6254147228076606,0.22732497897503476,0.08515259026210611
140,315.0,86.2479,-67.4687,2.4308,0.163293,0.287207,0.6099689242188217,0.2336155652969211,0.09111733025198625
141,315.5,101.626,-69.6006,2.3998,0.18141400000000002,0.29026599999999997,0.5969453132349797,0.24203862310796595,0.09755480142181802
142,316.0,106.7198,-71.7534,2.3787,0.19372599999999998,0.296483,0.5837940257796512,0.2504315598771449,0.1042311113541887
143,316.5,100.3497,-74.4636,2.3726,0.19731400000000002,0.30474799999999996,0.5672376251565412,0.2567140024424067,0.11109616135254542
